"REGION","AGE","SEX","ETHNICITY","EDLEVEL","EDGRADE","WORKED"
3,21,1,8,7,5,1
3,24,2,8,7,5,2
3,25,1,8,7,5,1
3,26,1,8,7,5,1
3,37,1,22,5,4,1
3,29,2,22,3,4,1
3,42,2,14,8,3,2
3,19,2,14,6,3,2
3,38,2,97,NA,NA,1
3,19,1,22,6,1,2
3,26,2,14,9,4,1
3,25,1,22,NA,NA,1
3,51,2,14,5,0,1
3,33,1,22,9,3,1
3,55,1,63,5,4,1
3,50,2,63,NA,NA,1
3,33,1,63,6,3,1
3,70,1,14,NA,NA,2
3,63,2,22,NA,NA,2
3,40,2,14,NA,NA,1
3,29,2,14,6,3,1
3,25,1,14,6,1,2
3,60,2,22,NA,NA,1
3,28,2,97,4,3,1
3,31,1,22,4,3,1
3,70,2,22,NA,NA,1
3,45,1,8,3,3,1
3,38,2,8,3,1,1
3,39,1,14,5,4,1
3,36,2,14,3,1,1
3,30,1,22,NA,NA,1
3,32,2,22,3,6,1
3,35,2,22,5,4,2
3,89,2,22,NA,NA,2
3,30,2,22,4,1,1
3,34,2,22,NA,NA,1
3,61,1,22,8,3,1
3,50,2,22,NA,NA,1
3,23,2,22,4,3,1
3,21,2,22,4,3,1
3,19,1,22,3,2,2
3,35,2,22,3,2,1
3,51,1,22,5,4,1
3,22,2,22,4,2,2
3,24,1,8,4,3,1
3,57,1,14,5,4,1
3,42,2,14,3,3,1
3,21,1,14,9,2,1
3,24,2,30,4,0,2
3,29,1,62,9,2,1
3,25,2,62,6,3,1
3,22,1,62,6,3,2
3,32,1,22,8,0,1
3,37,2,22,7,5,1
3,30,1,30,4,3,1
3,27,2,30,3,6,1
3,26,2,30,NA,NA,2
3,34,1,22,9,3,1
3,35,2,22,4,3,1
3,23,2,14,NA,NA,1
3,20,2,8,NA,NA,1
3,31,2,8,4,2,1
3,70,2,22,NA,NA,1
3,48,1,22,3,4,1
3,45,2,22,3,4,1
3,37,2,22,3,4,1
3,26,2,22,NA,NA,1
3,23,1,22,6,3,1
3,45,2,22,NA,NA,1
3,27,1,22,3,1,1
3,22,2,22,3,3,2
3,19,1,22,3,5,2
3,28,1,22,6,3,1
3,30,1,22,4,0,1
3,20,2,22,3,3,1
3,30,2,22,NA,NA,1
3,45,1,22,5,4,1
3,39,2,22,5,3,1
3,28,2,14,NA,NA,1
3,71,2,14,NA,NA,1
3,31,2,30,4,3,1
3,28,1,30,4,3,1
3,42,1,14,3,3,1
3,24,1,14,6,3,1
3,71,2,8,5,2,2
3,68,1,8,10,3,2
3,46,2,8,11,3,1
3,28,1,8,11,3,2
3,22,1,8,11,1,2
3,30,1,8,12,1,2
3,40,1,15,5,4,1
3,48,2,15,3,2,2
3,30,1,30,3,1,1
3,26,2,30,4,2,1
3,22,2,30,3,2,2
3,33,1,14,4,3,1
3,31,2,14,4,3,1
3,22,1,14,6,3,1
3,63,2,30,5,2,2
3,36,2,30,11,2,2
3,20,1,30,4,3,1
3,39,2,22,3,3,1
3,50,2,30,3,2,2
3,36,2,30,6,2,1
3,22,1,30,3,3,1
3,20,2,30,4,2,2
3,35,1,30,4,3,1
3,21,1,97,8,3,1
3,20,1,14,6,3,1
3,32,1,14,6,3,1
3,33,1,30,4,3,1
3,20,1,22,6,3,1
3,32,1,14,3,2,1
3,20,1,30,6,3,1
3,27,1,21,3,2,1
3,24,2,30,3,1,1
3,28,1,14,11,4,2
3,29,1,14,4,3,1
3,48,2,14,10,3,1
3,31,2,22,NA,NA,1
3,33,2,20,6,3,1
3,30,1,20,4,3,2
3,27,1,8,6,1,2
3,24,1,8,8,2,2
3,25,1,8,4,3,2
3,55,2,97,5,3,2
3,42,1,22,11,4,1
3,39,2,22,5,4,2
3,32,2,22,10,3,1
3,21,1,30,6,2,2
3,25,2,14,3,5,1
3,60,2,8,5,3,1
3,27,1,8,6,0,2
3,30,1,15,11,4,2
3,27,1,15,6,3,2
3,38,1,15,3,2,1
3,37,2,15,3,4,1
3,20,2,15,6,3,1
3,25,1,8,3,4,2
3,42,1,22,5,4,1
3,33,2,14,4,3,2
3,19,2,22,3,5,2
3,25,1,22,3,4,1
3,23,2,30,3,3,1
3,53,1,22,5,4,1
3,42,2,22,5,4,1
3,35,1,22,7,7,1
3,34,2,21,4,3,1
3,28,1,14,4,3,1
3,25,2,20,4,3,1
3,35,1,8,7,3,1
3,32,2,8,4,3,1
3,42,1,30,7,5,1
3,33,2,14,10,3,1
3,43,1,30,8,3,1
3,30,2,14,8,2,2
3,21,2,8,11,2,2
3,27,2,8,11,3,2
3,30,1,8,4,3,1
3,35,1,21,4,3,1
3,31,2,21,4,3,1
3,38,2,10,3,4,1
3,28,2,18,NA,NA,1
3,38,1,6,5,3,1
3,44,1,30,5,4,1
3,43,2,30,3,6,1
3,24,1,30,3,6,1
3,24,2,30,3,2,1
3,21,1,30,4,3,2
3,23,1,30,4,3,1
3,21,1,30,4,3,2
3,19,1,30,4,3,2
3,45,2,30,5,4,1
3,28,2,30,4,3,1
3,26,2,30,3,6,1
3,29,1,30,6,3,1
3,23,2,30,3,6,1
3,33,1,15,4,3,1
3,33,2,15,4,3,1
3,19,2,15,4,3,1
3,26,1,97,4,1,1
3,21,1,97,3,6,1
3,37,1,22,4,3,1
3,33,2,22,4,3,1
3,22,2,22,10,3,1
3,27,1,30,6,3,1
3,25,2,21,11,4,1
3,24,2,30,6,3,1
3,47,1,30,5,4,1
3,36,2,30,4,3,1
3,39,2,30,5,4,1
3,37,1,22,6,2,2
3,28,1,30,4,3,1
3,71,2,8,5,2,2
3,68,1,8,10,3,2
3,46,2,8,11,3,1
3,28,1,8,11,3,2
3,22,1,8,11,1,2
3,30,1,8,12,1,2
3,40,1,15,5,4,1
3,48,2,15,3,2,2
3,33,1,14,4,3,1
3,31,2,14,4,3,1
3,22,1,14,6,3,1
3,39,2,22,3,3,1
3,50,2,30,3,2,2
3,36,2,30,6,2,1
3,22,1,30,3,3,1
3,20,2,30,4,2,2
3,21,1,22,8,3,1
3,20,1,14,6,3,1
3,32,1,14,6,3,1
3,33,1,30,4,3,1
3,20,1,22,6,3,1
3,32,1,14,3,2,1
3,20,1,30,6,3,1
3,28,1,14,11,4,2
3,33,2,20,6,3,1
3,30,1,20,4,3,2
3,27,1,8,6,1,2
3,24,1,8,8,2,2
3,25,1,8,4,3,2
3,42,1,22,11,4,1
3,39,2,97,5,4,2
3,32,2,22,10,3,1
3,21,1,30,6,2,2
3,25,2,14,3,5,1
3,30,1,15,11,4,2
3,27,1,15,6,3,2
3,25,1,8,3,4,2
3,25,1,22,3,4,1
3,23,2,30,3,3,1
3,35,1,22,7,7,1
3,34,2,21,4,3,1
3,28,1,14,4,3,1
3,25,2,20,4,3,1
3,36,1,3,NA,NA,2
3,35,2,3,NA,NA,2
3,96,1,30,8,3,1
3,43,1,43,9,3,1
3,29,1,10,3,2,1
3,28,2,10,NA,NA,2
3,88,1,10,NA,NA,2
3,26,1,10,3,4,2
3,31,1,10,NA,NA,1
3,64,2,8,NA,NA,2
3,32,1,30,4,1,1
3,23,2,14,NA,NA,2
3,38,1,4,6,3,1
3,33,2,14,3,1,2
3,34,2,15,4,3,1
3,25,1,43,4,3,1
3,28,2,14,4,3,2
3,51,1,14,7,5,1
3,49,2,22,5,2,2
3,30,1,8,4,3,1
